[2015-03-04 02:56:20] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:56:31] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:56:35] EDIT perceptioncheck/controllers/games.py: -1
[2015-03-04 02:57:03] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 02:57:09] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-04 02:57:12] EDIT perceptioncheck/controllers/games.py: -1
[2015-03-04 03:00:33] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-04 03:00:37] EDIT perceptioncheck/controllers/games.py: -1
[2015-03-04 03:00:46] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-04 03:00:48] EDIT perceptioncheck/controllers/games.py: -1
[2015-03-04 03:01:01] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 03:01:07] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 03:01:09] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 03:04:31] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-04 03:04:45] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 03:04:49] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 03:05:14] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-04 03:07:13] EDIT perceptioncheck/models/tables.py: 2
[2015-03-04 03:08:34] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 03:08:52] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 03:09:37] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 03:10:06] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 03:10:30] EDIT perceptioncheck/models/tables.py: 1
[2015-03-04 03:10:49] EDIT perceptioncheck/models/tables.py: 1
[2015-03-04 03:11:56] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 15:17:58] EDIT perceptioncheck/models/tables.py: -1
[2015-03-04 15:18:21] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 15:18:42] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 15:19:05] EDIT perceptioncheck/views/games/new.html: 0
[2015-03-04 15:19:17] EDIT perceptioncheck/views/games/view.html: 0
[2015-03-04 18:47:06] EDIT perceptioncheck/models/tables.py: 2
[2015-03-04 18:48:12] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 18:48:25] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 18:48:31] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 18:48:31] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 18:50:28] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 18:51:23] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 18:52:46] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 18:53:57] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 18:54:15] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 18:54:35] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 18:54:38] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 18:57:43] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 18:57:53] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 19:00:15] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 19:01:08] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 19:01:22] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 19:01:31] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 19:01:39] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 19:01:41] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 19:01:58] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 19:02:06] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 19:02:10] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 19:04:00] EDIT perceptioncheck/views/games/index.html: 0
[2015-03-04 19:04:42] EDIT perceptioncheck/models/tables.py: 1
[2015-03-04 19:05:34] EDIT perceptioncheck/views/games/index.html: 1
[2015-03-04 19:30:44] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 19:30:55] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 19:31:19] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 19:31:58] EDIT perceptioncheck/views/games/index.html: -3
[2015-03-04 19:32:28] EDIT perceptioncheck/views/games/index.html: -3
[2015-03-04 19:32:52] EDIT perceptioncheck/views/games/index.html: -4
[2015-03-04 20:14:19] EDIT perceptioncheck/views/games/index.html: 9
[2015-03-04 20:58:23] EDIT perceptioncheck/controllers/games.py: 8
[2015-03-04 21:01:01] EDIT perceptioncheck/views/games/index.html: -10
[2015-03-04 21:01:04] EDIT perceptioncheck/views/games/index.html: 0
[2015-03-04 21:01:28] EDIT perceptioncheck/views/games/index.html: 0
[2015-03-04 21:03:23] EDIT perceptioncheck/views/games/index.html: 0
[2015-03-04 21:05:26] EDIT perceptioncheck/views/games/index.html: -1
[2015-03-04 21:06:56] EDIT perceptioncheck/views/games/view.html: -2
[2015-03-04 21:06:59] EDIT perceptioncheck/views/games/view.html: 0
[2015-03-04 21:11:35] EDIT perceptioncheck/models/tables.py: 1
[2015-03-04 21:11:43] EDIT perceptioncheck/models/tables.py: 2
[2015-03-04 21:11:48] EDIT perceptioncheck/models/tables.py: 0
[2015-03-04 21:13:19] EDIT perceptioncheck/controllers/games.py: -1
[2015-03-04 21:13:36] EDIT perceptioncheck/controllers/games.py: -1
[2015-03-04 21:13:55] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-04 21:14:24] EDIT perceptioncheck/controllers/games.py: -1
[2015-03-05 13:09:11] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-05 13:09:59] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-05 13:12:23] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-05 13:13:13] EDIT perceptioncheck/models/tables.py: 1
[2015-03-05 13:13:47] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-05 13:14:12] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-05 13:15:13] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-05 13:15:56] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-05 13:16:01] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-05 14:16:09] EDIT perceptioncheck/models/tables.py: -1
[2015-03-05 14:20:44] EDIT perceptioncheck/views/games/index.html: 132
[2015-03-05 14:37:13] EDIT perceptioncheck/views/games/index.html: -134
[2015-03-05 14:37:16] EDIT perceptioncheck/controllers/games.py: 79
[2015-03-05 14:38:40] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-05 14:39:03] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-05 14:39:11] EDIT perceptioncheck/views/games/view.html: 0
[2015-03-05 14:39:30] EDIT perceptioncheck/views/games/index.html: 0
[2015-03-05 14:39:34] EDIT perceptioncheck/views/games/index.html: 0
[2015-03-05 14:42:58] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-05 14:43:58] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-05 14:44:44] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-05 14:44:45] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-05 14:45:15] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-05 14:47:11] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-05 19:13:47] EDIT perceptioncheck/controllers/games.py: 0
